Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
5,4294967295,1,47,aclnnInplaceNormal_DSARandomNormal_DSARandomNormal,DSARandomNormal,dynamic,DSA_SQE,1775885424228162.176	,3.021,0,0,0,NO,N/A,N/A,N/A,"""1,4096""",FLOAT,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,4294967295,89,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242350.998	,1.380,73.100000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.843,2783,0.035,0.042,0.213,0.253,0.248,0.294,0.15,0.178,0.188,0.000
5,4294967295,92,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242385.466	,1.400,33.120000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841,2775,0.035,0.042,0.209,0.249,0.245,0.291,0.154,0.183,0.188,0.000
5,4294967295,95,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242500.911	,1.480,114.100000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.872,2879,0.035,0.04,0.236,0.271,0.252,0.289,0.159,0.182,0.188,0.000
5,4294967295,98,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242538.559	,1.461,36.020000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937,3092,0.035,0.038,0.291,0.311,0.255,0.272,0.153,0.163,0.188,0.000
5,4294967295,101,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242563.705	,1.400,23.789000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846,2793,0.035,0.042,0.226,0.267,0.243,0.287,0.148,0.174,0.188,0.000
5,4294967295,104,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242635.281	,1.480,70.100000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887,2928,0.035,0.04,0.265,0.298,0.247,0.279,0.148,0.167,0.188,0.000
5,4294967295,107,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242674.189	,1.461,37.520000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851,2808,0.035,0.041,0.216,0.254,0.253,0.297,0.155,0.182,0.18,0.000
5,4294967295,110,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242714.518	,1.440,38.789000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898,2965,0.035,0.039,0.23,0.256,0.264,0.294,0.16,0.178,0.174,0.000
5,4294967295,113,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242765.909	,1.401,50.060000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851,2808,0.035,0.041,0.198,0.233,0.262,0.308,0.155,0.182,0.18,0.000
5,4294967295,116,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242825.563	,1.420,58.099000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.845,2787,0.035,0.042,0.207,0.245,0.249,0.295,0.148,0.175,0.18,0.000
5,4294967295,119,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424242905.360	,1.480,78.330000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876,2890,0.035,0.04,0.238,0.272,0.256,0.292,0.15,0.171,0.18,0.000
5,4294967295,122,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424243088.300	,1.541,181.520000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.913,3013,0.035,0.038,0.432,0.474,0.255,0.279,0.155,0.169,0.0,0.000
5,4294967295,125,47,aclnnMul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1775885424243101.583	,1.381,11.709000,2,0,NO,"""1,4096;1,4096""",FLOAT16;FLOAT16,ND;ND,"""1,4096""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.751,2479,0.035,0.047,0.257,0.342,0.262,0.348,0.159,0.212,0.0,0.000
