Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2434,176.156,1775810567717041.491	,1775810567717217.647	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2435,1.280,1775810567717217.667	,1775810567717218.947	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2436,1.219,1775810567717218.967	,1775810567717220.187	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2437,175.456,1775810567717220.227	,1775810567717395.684	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2438,1.219,1775810567717395.704	,1775810567717396.924	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2439,1.279,1775810567717396.944	,1775810567717398.224	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2440,174.976,1775810567717398.264	,1775810567717573.240	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2441,1.279,1775810567717573.260	,1775810567717574.540	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2442,1.240,1775810567717574.560	,1775810567717575.800	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2443,176.936,1775810567717575.840	,1775810567717752.777	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2444,1.480,1775810567717752.797	,1775810567717754.277	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2445,1.299,1775810567717754.297	,1775810567717755.596	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2446,176.696,1775810567717755.616	,1775810567717932.313	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2447,1.279,1775810567717932.333	,1775810567717933.613	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2448,1.299,1775810567717933.633	,1775810567717934.933	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2449,176.516,1775810567717934.953	,1775810567718111.469	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2450,1.299,1775810567718111.489	,1775810567718112.789	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2451,1.240,1775810567718112.809	,1775810567718114.049	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2452,175.896,1775810567718114.069	,1775810567718289.966	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2453,1.439,1775810567718289.986	,1775810567718291.426	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2454,1.299,1775810567718291.446	,1775810567718292.746	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2455,175.776,1775810567718292.766	,1775810567718468.542	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2456,1.279,1775810567718468.562	,1775810567718469.842	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2457,1.259,1775810567718469.882	,1775810567718471.142	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2458,177.156,1775810567718471.162	,1775810567718648.319	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2459,1.279,1775810567718648.359	,1775810567718649.639	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2460,1.319,1775810567718649.659	,1775810567718650.979	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2461,176.536,1775810567718650.999	,1775810567718827.535	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2462,1.279,1775810567718827.555	,1775810567718828.835	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2463,1.300,1775810567718828.875	,1775810567718830.175	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2464,175.936,1775810567718830.195	,1775810567719006.131	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2465,1.279,1775810567719006.151	,1775810567719007.431	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2466,1.220,1775810567719007.471	,1775810567719008.691	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2467,175.556,1775810567719008.731	,1775810567719184.288	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2468,1.199,1775810567719184.328	,1775810567719185.528	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2469,1.300,1775810567719185.548	,1775810567719186.848	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2470,175.656,1775810567719186.868	,1775810567719362.524	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2471,1.279,1775810567719362.564	,1775810567719363.844	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2472,1.400,1775810567719363.864	,1775810567719365.264	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2473,176.936,1775810567719365.284	,1775810567719542.221	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2474,1.320,1775810567719542.241	,1775810567719543.561	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2475,1.339,1775810567719543.601	,1775810567719544.941	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2476,176.696,1775810567719544.961	,1775810567719721.657	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2477,1.259,1775810567719721.697	,1775810567719722.957	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2478,1.299,1775810567719722.977	,1775810567719724.277	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2479,176.256,1775810567719724.297	,1775810567719900.554	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2480,1.299,1775810567719900.574	,1775810567719901.874	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2481,1.260,1775810567719901.894	,1775810567719903.154	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2482,175.536,1775810567719903.174	,1775810567720078.710	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2483,1.239,1775810567720078.730	,1775810567720079.970	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2484,1.280,1775810567720080.010	,1775810567720081.290	
4,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,AI_VECTOR_CORE,47,2485,175.276,1775810567720081.330	,1775810567720256.607	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2486,1.279,1775810567720256.627	,1775810567720257.906	
4,aclnnLayerNormWithImplMode_CastAiCore_Cast,AI_VECTOR_CORE,47,2487,1.320,1775810567720257.946	,1775810567720259.266	
