Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
4,4294967295,1147,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663807.874	,1.300,0.000000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,1167,0.034,0.048,0.285,0.404,0.123,0.174,0.139,0.196,0.018,0.000
4,4294967295,1148,47,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,LayerNormV3,dynamic,AI_VECTOR_CORE,1775810567663809.194	,47.519,0.200000,40,0,NO,"""1024,4096;4096;4096""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1024,4096;1024,1;1024,1""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.938,2965933,31.827,0.708,11.676,0.26,7.264,0.162,5.657,0.126,0.0,0.000
4,4294967295,1149,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663856.733	,1.200,0.000000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607,1002,0.034,0.056,0.275,0.452,0.121,0.2,0.141,0.233,0.0,0.000
4,4294967295,1150,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663857.953	,1.400,0.050000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.898,1481,0.034,0.038,0.468,0.522,0.118,0.131,0.149,0.166,0.018,0.000
4,4294967295,1151,47,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,LayerNormV3,dynamic,AI_VECTOR_CORE,1775810567663859.373	,47.699,0.000000,40,0,NO,"""1024,4096;4096;4096""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1024,4096;1024,1;1024,1""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.033,2972192,31.827,0.707,11.98,0.266,6.912,0.153,5.609,0.125,0.0,0.000
4,4294967295,1152,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663907.092	,1.120,0.051000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618,1019,0.034,0.055,0.278,0.45,0.132,0.214,0.149,0.241,0.0,0.000
4,4294967295,1153,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663908.232	,1.240,0.130000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719,1186,0.034,0.047,0.287,0.399,0.118,0.164,0.145,0.202,0.018,0.000
4,4294967295,1154,47,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,LayerNormV3,dynamic,AI_VECTOR_CORE,1775810567663909.512	,47.899,0.010000,40,0,NO,"""1024,4096;4096;4096""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1024,4096;1024,1;1024,1""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.162,2980706,31.827,0.705,11.981,0.265,7.123,0.158,5.605,0.124,0.0,0.000
4,4294967295,1155,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663957.431	,1.120,0.101000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597,985,0.034,0.057,0.256,0.429,0.135,0.226,0.144,0.241,0.0,0.000
4,4294967295,1156,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567663958.571	,1.240,0.000000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696,1148,0.034,0.049,0.282,0.406,0.122,0.176,0.136,0.196,0.018,0.000
4,4294967295,1157,47,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,LayerNormV3,dynamic,AI_VECTOR_CORE,1775810567663959.831	,46.959,0.010000,40,0,NO,"""1024,4096;4096;4096""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1024,4096;1024,1;1024,1""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.547,2940081,31.827,0.714,11.593,0.26,7.025,0.158,5.606,0.126,0.0,0.000
4,4294967295,1158,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567664006.810	,1.140,0.041000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,956,0.034,0.059,0.259,0.447,0.119,0.206,0.137,0.236,0.0,0.000
4,4294967295,1159,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567664007.970	,1.240,0.110000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666,1099,0.034,0.051,0.246,0.369,0.116,0.175,0.134,0.201,0.018,0.000
4,4294967295,1160,47,aclnnLayerNormWithImplMode_LayerNormV3WithImplMode_LayerNormV3,LayerNormV3,dynamic,AI_VECTOR_CORE,1775810567664009.230	,46.959,0.010000,40,0,NO,"""1024,4096;4096;4096""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,"""1024,4096;1024,1;1024,1""",FLOAT16;FLOAT16;FLOAT16,ND;ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.647,2946690,31.827,0.713,11.515,0.258,7.216,0.162,5.642,0.126,0.0,0.000
4,4294967295,1161,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567664056.209	,1.180,0.041000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,1007,0.034,0.056,0.283,0.464,0.124,0.203,0.136,0.223,0.0,0.000
4,4294967295,1162,47,aclnnLayerNormWithImplMode_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1775810567664057.409	,1.300,0.070000,1,0,NO,"""1024,1""",FLOAT16,ND,"""1024,1""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.704,1161,0.034,0.048,0.273,0.388,0.132,0.187,0.138,0.196,0.016,0.000
